"country","year","greenhouse_gas_per_capita","public_expenditure_health_%gdp","fertiltiy_rate","oop_expenditure_healthcare_per_capita","youth_mortality_rate","burden_of_disease","hdi"
"Qatar",2012,48.9,1.83147767,2,242.804,1.078173,23010.3047549784,0.856
"Romania",2012,6.07,4.39738629,1.49,199.92299,1.337447,27857.9244881067,0.811
"Russia",2012,19.58,3.7958389,1.62,424.06677,1.257256,35803.3269102405,0.816
"Rwanda",2012,0.62,2.8358772,4.27,32.183987,6.698568,45676.0699158795,0.524
"Saint Lucia",2012,3.42,4.2074087,1.51,441.20563,2.084932,26894.509488818,0.747
"Saint Vincent and the Grenadines",2012,2.92,4.40344684,2.02,89.268318,2.3422,30735.4936446004,0.723
"Samoa",2012,1.88,4.33764124,4.21,38.521652,2.213008,30948.2455574689,0.713
"Sao Tome and Principe",2012,1.07,2.48230437,4.69,31.885048,4.961525,39964.9590170934,0.589
"Senegal",2012,3.95,2.17986622,5,38.310261,7.65026,45118.6137326693,0.505
"Seychelles",2012,10.31,3.79789254,2.37,23.462151,1.715968,28283.1349497472,0.797
"Sierra Leone",2012,1.75,1.98087849,4.92,86.628052,16.901056,72059.8251790667,0.419
"Singapore",2012,10.52,1.50107774,1.26,973.33636,0.369748,15908.820177857,0.932
"Slovenia",2012,10.24,6.80388719,1.57,315.62729,0.379739,20933.7514201846,0.896
"Solomon Islands",2012,8.32,5.09469496,4.1,5.6823258,2.868673,46875.8803119072,0.546
"South Korea",2012,13.33,3.85169163,1.22,819.80731,0.489582,18622.0576974355,0.903
"Spain",2012,7.45,6.7346152,1.35,661.28064,0.449676,17614.8298031871,0.891
"Sri Lanka",2012,1.49,1.21959941,2.14,96.928505,1.416328,24564.1030837982,0.77
"Sudan",2012,13.67,1.87179556,4.77,137.53094,8.291268,43816.4826004355,0.502
"Suriname",2012,4.95,3.21586169,2.47,102.5122,2.66149,33358.7914485634,0.72
"Sweden",2012,6.91,9.95552109,1.91,756.49231,0.37976,18571.6124248863,0.933
"Switzerland",2012,6.77,7.49878485,1.52,1780.7837,0.519648,17972.8651243249,0.944
"Tajikistan",2012,1.92,1.87760452,3.49,90.528458,4.439855,36030.8852469132,0.65
"Tanzania",2012,4.8,2.79046023,5.29,27.686514,7.852616,53416.2247389113,0.538
"Thailand",2012,6.49,3.24811916,1.53,69.576157,1.713829,24028.6900708473,0.755
"Togo",2012,3.34,1.94779734,4.73,45.44252,10.733207,58735.7645872592,0.503
"Trinidad and Tobago",2012,45.7,2.89498885,1.8,631.89429,3.2716,28846.8997702501,0.784
"Tunisia",2012,3.65,4.15787253,2.21,286.84976,1.92447,24778.6601153844,0.735
"Turkey",2012,5.98,4.1491433,2.12,147.24062,1.984522,24403.3956173145,0.791
"Turkmenistan",2012,17.5,1.27337639,2.94,406.37161,5.948238,36308.91661126,0.706
"Uganda",2012,2.22,2.15389932,5.96,56.853527,8.240974,57668.1364837889,0.516
"Ukraine",2012,8.88,4.12524044,1.49,237.0508,1.307432,32728.0280946788,0.751
"United Arab Emirates",2012,23.02,2.55002589,1.82,353.53403,0.978688,31896.2137096198,0.863
"United Kingdom",2012,9.2,7.80263316,1.89,338.60724,0.569568,20104.0883827266,0.922
"United States",2012,20.2,8.04235781,1.9,1013.6326,0.839077,23653.3609174336,0.924
"Uruguay",2012,10.08,5.94708868,2.05,277.92624,1.18802,24914.3300186935,0.804
"Uzbekistan",2012,5.95,3.12737145,2.4,126.11008,3.489256,37865.0924917283,0.71
"Vanuatu",2012,1.8,3.16739626,3.42,8.9323177,3.454178,48748.1934355941,0.603
"Venezuela",2012,9.43,1.67563803,2.42,337.50989,1.9949,27949.6602283777,0.761
"Vietnam",2012,3.43,3.72212414,1.96,125.70781,2.562608,27649.1187688967,0.694
