"Country Name","Year","GDP Per Capita PPP","Private Expenditure Consumption (% growth)","Gross Fixed Investment (% growth)","Govt Expenditure Consumption (% GDP)","Exports of G&S (% GDP)","Imports of G&S (% GDP)","Human Development Index","Gross Capital Formation","Net foreign asset","Net FDI (BOP)","Exchange Rate","Total Reserves","Inflation Rate","Govt Effectiveness","Female Adult Mortality Rate","Male Adult Mortality Rate","Real GDP (% growth)","major.event","GDP Per Capita PPP (Year+1)"
"Cabo Verde","2008",5711.2759169575,1.61301713304532,2.49078455972145,16.8816655961587,36.8959583313592,63.0884111888738,0.625,48.5351918975026,28990976251.912,-213735822.380781,75.3360038388544,361467111.500192,6.77443546371137,0.065787,113.696,156.329,6.65052052259701,"1",5613.7465582812
"Cabo Verde","2009",5613.7465582812,6.08145332404888,-8.54332922560098,18.1841291134525,31.0774516439262,56.9597835439037,0.63,43.7894261011928,27376018299.5524,-124107059.533532,80.0354177277845,397876708.938471,0.991103480568126,0.0531146,112.539,155.834,-1.27042596756841,"1",5692.54910540752
"Cabo Verde","2010",5692.54910540752,-1.23732761845625,18.559531267933,18.4287158156253,32.6703180612436,61.7680279360714,0.632,47.6473214054556,28482460636.5237,-116158763.720938,83.2786893759019,382190200.497035,2.07866470906422,-0.0160154,111.383,155.338,1.46679009706938,"0",5966.84799990471
"Cabo Verde","2011",5966.84799990471,2.16315206263621,5.90605121297318,18.5236420729564,35.5192397447338,64.3299102241692,0.639,47.5087818744761,19985549286.772,-100837552.813971,79.2768814761183,338617823.352149,4.47388342165027,0.1545996,110.226,154.843,3.96888634471986,"0",5818.90305855813
"Cabo Verde","2012",5818.90305855813,3.34977192194114,-23.8958788552944,17.2681199951121,40.4318042627331,59.8453375730436,0.644,37.1935232378855,25375452025.7787,-116951430.545924,86.3189541847042,375841714.655623,2.54039644167111,0.1204711,109.069,154.348,1.08191827877127,"0",5792.91983252115
"Cabo Verde","2013",5792.91983252115,1.79886121297623,-12.2735321565507,17.4579103762265,40.4924428420234,54.846645937621,0.647,31.6295846472791,33540952991.6803,-56525170.5216803,83.0725,475334069.480303,1.50654285701402,0.0967698,106.861,152.183,0.802797600574223,"0",5748.09623755065
"Chile","1996",8011.57277265605,9.43160556094949,8.91874776169563,10.9916591311147,26.6455426748618,28.1224321282485,0.735,27.849670732753,5939613412000,-3681163776.53,412.266666666667,15659156323.552,7.35911781788773,1.337977,82.501,152.623,6.80291659577689,"0",8995.76322152457
"Chile","1998",8995.76322152457,4.85985519744018,3.24551886636513,11.3906197202927,25.5211320708257,28.8000316091277,0.743,26.9438250412984,6375874326567.91,-3144336714.41022,460.2875,16221026833.4084,5.11024954517563,1.195396,78.641,147.202,4.32457949685634,"0",9553.56849069601
"Chile","2000",9553.56849069601,4.13685398635322,10.0426575425119,12.0825633262672,30.5317001278369,28.7841219793074,0.756,22.1167494748706,8873477847648.25,-873370518.197886,539.5875,15055115211.0232,3.8432729570657,1.122833,75.536,142.235,5.32693841912359,"0",10333.0609557183
"Chile","2002",10333.0609557183,2.14092581820644,3.93464276857274,12.2197261562008,32.8039336278624,30.5897918658586,0.769,22.3330757473937,10041738690381,-2206769652.97625,688.936666666667,15343862166.6232,2.48939816650703,1.147711,72.431,137.269,3.10697053227061,"0",10841.325904755
"Chile","2003",10841.325904755,4.5211546799747,8.14984576479867,11.7197354302193,35.6590455123686,30.6572411088055,0.776,21.0410186115397,7611773202993.56,-2317376775.8889,691.3975,15842927419.0005,2.81017875743615,1.224551,72.181,135.134,4.09104768470421,"0",11812.6341256259
"Chile","2004",11812.6341256259,8.27843247839535,12.9848411269298,10.9617135122447,39.8023703887306,29.9312929643814,0.785,19.7789495877935,7242096540832.82,-4652657204.61328,609.529166666667,15997301155.2013,1.05473871403516,1.190407,71.93,133,7.20953970945035,"0",12746.5896892655
"Chile","2005",12746.5896892655,7.7055832751543,23.4584222163052,10.5765825272496,40.1598164728269,31.4569444002278,0.791,21.8401671683746,6938818936423.43,-5327059944.69972,559.7675,16933297690.4239,3.05257621387848,1.23629,71.68,130.866,5.74283048945115,"0",15753.9601005362
"Chile","2006",15753.9601005362,7.45883017183093,5.95437964153838,9.92531047760457,43.7951067814933,29.3035442987512,0.791,20.8158180329096,9352016866671.24,-5374273035.9017,530.275,19396987006.6216,3.39201733699404,1.034509,71.43,128.732,6.31717634314714,"0",16941.8298335969
"Chile","2007",16941.8298335969,7.07473439314275,10.5515020826791,10.2527196827343,45.069003891647,31.3384116080082,0.804,20.8454648347173,8386991271537.19,-8623204102.19681,522.464166666667,16843397511.3296,4.40779938398046,1.275488,71.179,126.598,4.90532450356156,"0",16501.8098843946
"Chile","2008",16501.8098843946,4.15334161723212,18.488560707416,11.0713894318291,41.42416774923,39.3656056799178,0.814,26.8176298441866,11083500660213.3,-9321755961.35028,522.461035833333,23079229513.8107,8.7162687303961,1.168234,70.921,124.727,3.52953055326518,"1",16159.6071479931
"Chile","2009",16159.6071479931,-0.862315843938589,-13.3375400588309,12.4168845550206,37.0407736118743,29.2964293060456,0.822,21.0583689492567,8529006402958.29,-6622247091.58977,560.85989484127,25292079030.7077,0.353045178360941,1.247791,70.663,122.857,-1.5642394429907,"1",18161.8092446236
"Chile","2010",18161.8092446236,10.6971528514952,13.1298297472896,12.1087408531597,37.7451125423707,31.3186034536109,0.803,23.1399861188729,8054515082856.64,-6558972711.96496,510.249166666667,27827450636.1978,1.41071107954318,1.272297,70.405,120.986,5.84417729578996,"0",20342.5614772686
"Chile","2011",20342.5614772686,8.20008002209465,16.1488376235447,11.9134875923153,37.7619574718629,34.4437084746829,0.815,24.6427653865006,14873084181706,-5312996609.67102,483.6675,41943889984.8962,3.34121694259299,1.247487,70.146,119.116,6.11091882913644,"0",21507.6925701952
